compound_id,log2FC,pval,comparison,condition,timepoint_h,adj_pval,significant
C18_NEG_0057_heptanoic_acid_negative_M+acetate189p1133_3p86,-2.684836156707341,0.0056154124939173,P_vs_0h_t144h,P,144,0.0134541416716548,True
C18_NEG_0058_10-hydroxydecanoate_negative_M-H187p1339_4p05,-3.0335149426150814,0.0075087721140722,P_vs_0h_t144h,P,144,0.0172094762075517,True
C18_NEG_0059_dinoprost_negative_M-H353p2333_4p62,-3.482828753389384,0.0087195775622237,P_vs_0h_t144h,P,144,0.0195170661517026,True
C18_NEG_0061_2-heptylhexanedioic_acid_negative_M-H243p1602_5p27,-2.4244289745713594,0.0307239040630987,P_vs_0h_t144h,P,144,0.0562659056466557,False
C18_NEG_0062_16-hydroxyhexadecanoic_acid_negative_M-H271p2278_6p16,-3.8297244577779703,6.524264230519886e-06,P_vs_0h_t144h,P,144,6.242905335578716e-05,True
C18_NEG_0063nootkatone_negative_M+acetate277p1810_6p17,-0.3531590127856958,0.7656441003722673,P_vs_0h_t144h,P,144,0.7957916616903877,False
C18_NEG_0064_5-oxopentadecanoic_acid_negative_M-H255p1965_6p54,-3.995576009133608,0.0078602771626111,P_vs_0h_t144h,P,144,0.0177756046321382,True
C18_NEG_0065_palmitoleic_acid_negative_M-H253p2173_7p47,-0.0712626118623767,0.921517540221046,P_vs_0h_t144h,P,144,0.9337733621887272,False
C18_NEG_0066_stearic_acid_negative_M-H283p2642_8p07,0.6413423195624723,0.2406033584670085,P_vs_0h_t144h,P,144,0.2985119463638493,False
HILIC_POS_0004_indole-3-acetamide_positive_M+H175p0866_1p29,2.644228006020839,0.0004272559552068,P_vs_0h_t144h,P,144,0.0018981837039983,True
HILIC_POS_0007_2-hydroxypyridine_positive_M+H96p0444_1p39,2.844554641733652,0.0020751384807389,P_vs_0h_t144h,P,144,0.0063540740280227,True
HILIC_POS_0010_dethiobiotin_positive_M+H215p1390_1p94,-1.1261940863614832,0.0924792383865023,P_vs_0h_t144h,P,144,0.1340773806531583,False
HILIC_POS_0011_4-hydroxy-2-quinolone_positive_M+H162p0549_2p06,-0.9768148249904344,0.0614785447344633,P_vs_0h_t144h,P,144,0.0954600932945875,False
HILIC_POS_0012_pyridoxine_positive_M+H170p0812_2p09,4.557483901706117,0.0011642939688859,P_vs_0h_t144h,P,144,0.0041647992204775,True
HILIC_POS_0013_2deoxyadenosine_positive_M+H252p1091_2p16,-1.223480315823835,0.0204795867411738,P_vs_0h_t144h,P,144,0.0401462833556173,True
HILIC_POS_0014_adenine_positive_M+H136p0618_2p54,1.0862924758246135,0.1243939607720214,P_vs_0h_t144h,P,144,0.1728195589310026,False
HILIC_POS_0016_4-pyridoxic_acid_positive_M+H184p0604_2p72,-1.5008651220451803,0.1179176827616996,P_vs_0h_t144h,P,144,0.1648693811033444,False
HILIC_POS_0018_4-acetamidobutanoic_acid_positive_M+H146p0812_2p83,-0.2110661493110015,0.6869396911909547,P_vs_0h_t144h,P,144,0.7288320632109158,False
HILIC_POS_0019_adenosine_positive_M+H268p1040_2p88,-1.9000389276937495,0.0234841179323781,P_vs_0h_t144h,P,144,0.0450553691158784,True
HILIC_POS_0020_hypoxanthine_positive_M+H137p0458_2p90,3.8498133509138377,0.0027219944299596,P_vs_0h_t144h,P,144,0.0078688810814413,True
HILIC_POS_0022_biotin_positive_M+H245p0954_3p21,-0.6246860214496515,0.2752816344063653,P_vs_0h_t144h,P,144,0.3368954294773344,False
HILIC_POS_0023_3-methyladenine_positive_M+H150p0774_3p38,-1.0964062603185845,0.141024409841415,P_vs_0h_t144h,P,144,0.1924317036249611,False
HILIC_POS_0024_pterin_positive_M+H164p0567_3p45,5.198971786377967,0.0060784576425282,P_vs_0h_t144h,P,144,0.0143391658716652,True
HILIC_POS_0026_creatinine_positive_M+H114p0662_3p73,0.6466493194811385,0.2801354640179418,P_vs_0h_t144h,P,144,0.3417429445509713,False
HILIC_POS_0027_choline_positive_M104p1070_3p85,-1.584116898744952,0.0177727676964505,P_vs_0h_t144h,P,144,0.0356354268560188,True
HILIC_POS_0028_choline_o-sulfuric_acid_positive_M184p0638_3p95,5.292576737726291,0.0006831522452507,P_vs_0h_t144h,P,144,0.0027669473213727,True
HILIC_POS_0029_5-methylcytosine_positive_M+H126p0662_4p07,0.5072671527400239,0.3630636070525361,P_vs_0h_t144h,P,144,0.4302247541775796,False
HILIC_POS_0032_cytosine_positive_M+H112p0505_4p46,4.197274033729972,0.0010239069374065,P_vs_0h_t144h,P,144,0.0037516917711289,True
HILIC_POS_0033_4-quinolinecarboxylic_acid_positive_M+H174p0549_5p01,1.954700840947499,0.0184064284746409,P_vs_0h_t144h,P,144,0.0366759678163673,True
HILIC_POS_0035_inosine_positive_M+H269p0881_5p01,3.5761896715665102,0.0010152547107974,P_vs_0h_t144h,P,144,0.0037364301976704,True
HILIC_POS_0037_deoxycytidine_positive_M+H228p0979_5p18,-1.6804032075268545,0.0291869747950383,P_vs_0h_t144h,P,144,0.0537082432826968,False
HILIC_POS_0039_isonicotinic_acid_positive_M+H124p0393_5p53,1.200709321596836,0.0945990315280801,P_vs_0h_t144h,P,144,0.1365043518091335,False
HILIC_POS_0040_guanine_positive_M+H152p0567_5p78,0.8924133586360057,0.1758194393397555,P_vs_0h_t144h,P,144,0.2324521257592105,False
HILIC_POS_0042_2deoxyguanosine_positive_M+H268p1040_6p37,3.040920373144125,0.0077057076058661,P_vs_0h_t144h,P,144,0.0175036177219303,True
HILIC_POS_0043_pantothenic_acid_positive_M+H220p1180_6p41,3.3898387897082785,0.0028793338483775,P_vs_0h_t144h,P,144,0.0082090505062682,True
HILIC_POS_0046_cytidine_positive_M+H244p0928_6p43,0.531469946618305,0.4275558387517276,P_vs_0h_t144h,P,144,0.4827345052572971,False
HILIC_POS_0047_N-acetyl-glucosamine_positive_M+H222p0972_6p43,3.966180953440931,0.0008291592012915,P_vs_0h_t144h,P,144,0.0032056002454103,True
HILIC_POS_0048_tyramine_positive_M+H138p0913_6p48,8.09832081857314,1.4147519103987143e-06,P_vs_0h_t144h,P,144,1.995665843537871e-05,True
HILIC_POS_0051_betaine_positive_M118p0863_7p36,3.8141819898246174,0.0038504178708026,P_vs_0h_t144h,P,144,0.009985907135268,True
HILIC_POS_0055_trigonelline_positive_M138p0549_8p19,5.22499537013816,0.0004103485657655,P_vs_0h_t144h,P,144,0.0018401246875149,True
HILIC_POS_0056_phenylalanine_positive_M+H166p0863_8p37,-0.6917427834119749,0.2756013938468665,P_vs_0h_t144h,P,144,0.3370173594085883,False
HILIC_POS_0057_bis_3-aminopropyl_amine_positive_M-H+2Na176p1134_8p40,-0.5860704643963643,0.0116137085375518,P_vs_0h_t144h,P,144,0.0248679549244641,False
HILIC_POS_0063_N-acetylputrescine_positive_M+H131p1179_9p71,-1.6830731425361698,0.009318600450167,P_vs_0h_t144h,P,144,0.0206764888249358,True
HILIC_POS_0064_methionine_positive_M+H150p0583_9p85,3.2307730381019404,0.007379369150781,P_vs_0h_t144h,P,144,0.0169636849397083,True
HILIC_POS_0065_norvaline_positive_M+H118p0863_10p18,-1.300788743059794,0.086368791372615,P_vs_0h_t144h,P,144,0.1264155063015999,False
HILIC_POS_0066_proline_positive_M+H116p0706_10p33,-0.3588814289809718,0.5236414983392507,P_vs_0h_t144h,P,144,0.5718224921236753,False
HILIC_POS_0067_pipecolic_acid_positive_M+H130p0863_10p38,1.5921993666253655,0.0685074381061742,P_vs_0h_t144h,P,144,0.1043093384473816,False
HILIC_POS_0068_valine_positive_M+H118p0863_10p48,-1.300788743059794,0.086368791372615,P_vs_0h_t144h,P,144,0.1264155063015999,False
HILIC_POS_0070_5-oxo-proline_positive_M-H+2Na174p0138_11p09,1.6517095728879596,3.6093510432136027e-05,P_vs_0h_t144h,P,144,0.0002341490019983,True
HILIC_POS_0071_tyrosine_positive_M+H182p0812_11p27,0.0402712467347647,0.9215751471372742,P_vs_0h_t144h,P,144,0.9337733621887272,False
HILIC_POS_0072_DL-2-aminobutyric_acid_positive_M+H104p0706_11p57,-3.793904420148568,0.0035467872498576,P_vs_0h_t144h,P,144,0.0094766688997067,True
HILIC_POS_0073_2-amino-2-methylpropanoic_acid_positive_M+H104p0706_11p86,-3.793904420148568,0.0035467872498576,P_vs_0h_t144h,P,144,0.0094766688997067,True
HILIC_POS_0074_ectoine_positive_M+H143p0815_11p95,6.063154102036794,0.0023108213537743,P_vs_0h_t144h,P,144,0.00695062375762,True
HILIC_POS_0075_1-aminocyclopropane-1-carboxylic_acid_positive_M+H102p0550_12p51,-1.1513981696536817,0.0443828518308049,P_vs_0h_t144h,P,144,0.0747526360318617,False
HILIC_POS_0076_trans-4-hydroxyproline_positive_M+H132p0655_12p75,5.916857663002986,1.5582241146976713e-05,P_vs_0h_t144h,P,144,0.0001210985339899,True
HILIC_POS_0077_carnitine_positive_M162p1125_12p78,1.4436106684587706,0.0654145875076462,P_vs_0h_t144h,P,144,0.100652998466539,False
HILIC_POS_0078_sucrose_positive_M+Na365p1054_12p96,-0.280521585551913,0.403992958495766,P_vs_0h_t144h,P,144,0.4589336304521406,False
HILIC_POS_0080_threonine_positive_M+H-H2O102p0550_13p00,-1.1513981696536817,0.0443828518308049,P_vs_0h_t144h,P,144,0.0747526360318617,False
HILIC_POS_0082_allothreonine_positive_M+H-H2O102p0550_13p12,2.165071772014702,0.0029247318647691,P_vs_0h_t144h,P,144,0.008301427545519,True
HILIC_POS_0083_cis-4-hydroxy-proline_positive_M+H132p0655_13p19,5.916857663002986,1.5582241146976713e-05,P_vs_0h_t144h,P,144,0.0001210985339899,True
HILIC_POS_0084_palatinose_positive_M+Na365p1054_13p23,-0.7547440770145535,0.0461606250236022,P_vs_0h_t144h,P,144,0.0770686116806271,False
